Closest predicted index: 2593, MAE: [8.25434016e-05], Loss: -32993491701500.277, Alpha: 0.01, Beta: 0.0001, Gamma: 0.0001
Closest predicted index: 2594, MAE: [0.0002041], Loss: -32993490634908.117, Alpha: 0.01, Beta: 0.0001, Gamma: 0.001
Closest predicted index: 2595, MAE: [0.00026104], Loss: -32993466555525.176, Alpha: 0.01, Beta: 0.0001, Gamma: 0.01
Closest predicted index: 3424, MAE: [0.00331303], Loss: -32991754073932.8, Alpha: 0.01, Beta: 0.0001, Gamma: 0.1
Closest predicted index: 3312, MAE: [0.00015133], Loss: -33013631862109.586, Alpha: 0.01, Beta: 0.0001, Gamma: 1.0
Closest predicted index: 2557, MAE: [6.18843159e-05], Loss: -32975780851637.14, Alpha: 0.01, Beta: 0.001, Gamma: 0.0001
Closest predicted index: 2595, MAE: [0.00013276], Loss: -32975803096664.996, Alpha: 0.01, Beta: 0.001, Gamma: 0.001
Closest predicted index: 2535, MAE: [0.0001855], Loss: -32975791656025.89, Alpha: 0.01, Beta: 0.001, Gamma: 0.01
Closest predicted index: 3434, MAE: [0.00027669], Loss: -32975795420079.1, Alpha: 0.01, Beta: 0.001, Gamma: 0.1
Closest predicted index: 2517, MAE: [0.00040911], Loss: -32975646807392.816, Alpha: 0.01, Beta: 0.001, Gamma: 1.0
Closest predicted index: 2595, MAE: [0.00029252], Loss: -32799411618701.926, Alpha: 0.01, Beta: 0.01, Gamma: 0.0001
Closest predicted index: 1320, MAE: [0.00024737], Loss: -32799043422491.215, Alpha: 0.01, Beta: 0.01, Gamma: 0.001
Closest predicted index: 2595, MAE: [0.0007693], Loss: -32799389588278.176, Alpha: 0.01, Beta: 0.01, Gamma: 0.01
Closest predicted index: 2978, MAE: [0.00075997], Loss: -32798315347042.887, Alpha: 0.01, Beta: 0.01, Gamma: 0.1
Closest predicted index: 1406, MAE: [0.00040226], Loss: -32799178735706.043, Alpha: 0.01, Beta: 0.01, Gamma: 1.0
Closest predicted index: 2597, MAE: [0.00054766], Loss: -31034576789200.344, Alpha: 0.01, Beta: 0.1, Gamma: 0.0001
Closest predicted index: 2920, MAE: [0.00125666], Loss: -31030177173665.625, Alpha: 0.01, Beta: 0.1, Gamma: 0.001
Closest predicted index: 2681, MAE: [0.00036991], Loss: -31034578203528.87, Alpha: 0.01, Beta: 0.1, Gamma: 0.01
Closest predicted index: 2596, MAE: [0.00068423], Loss: -31034588518438.543, Alpha: 0.01, Beta: 0.1, Gamma: 0.1
Closest predicted index: 2613, MAE: [0.00048748], Loss: -31056281081794.37, Alpha: 0.01, Beta: 0.1, Gamma: 1.0
Closest predicted index: 2594, MAE: [0.00037109], Loss: -13387723590277.525, Alpha: 0.01, Beta: 1.0, Gamma: 0.0001
Closest predicted index: 2527, MAE: [0.0003741], Loss: -13387736526226.77, Alpha: 0.01, Beta: 1.0, Gamma: 0.001
Closest predicted index: 2612, MAE: [4.95935871e-06], Loss: -13387732006512.5, Alpha: 0.01, Beta: 1.0, Gamma: 0.01
Closest predicted index: 2623, MAE: [0.00112262], Loss: -13387343736449.146, Alpha: 0.01, Beta: 1.0, Gamma: 0.1
Closest predicted index: 2598, MAE: [1.82565656e-05], Loss: -13393602013624.219, Alpha: 0.01, Beta: 1.0, Gamma: 1.0
Closest predicted index: 2621, MAE: [0.0005317], Loss: -2.0685840980964354, Alpha: 0.01, Beta: 10, Gamma: 0.0001
Closest predicted index: 2386, MAE: [8.14025183e-05], Loss: -2.21976120048621, Alpha: 0.01, Beta: 10, Gamma: 0.001
Closest predicted index: 0, MAE: [0.01200024], Loss: 224195.18625702424, Alpha: 0.01, Beta: 10, Gamma: 0.01
Closest predicted index: 0, MAE: [15.11842083], Loss: -20.559123288388314, Alpha: 0.01, Beta: 10, Gamma: 0.1
Closest predicted index: 0, MAE: [68.64284205], Loss: -240.34536455385646, Alpha: 0.01, Beta: 10, Gamma: 1.0
Closest predicted index: 2509, MAE: [0.00035505], Loss: -329925317184906.6, Alpha: 0.1, Beta: 0.0001, Gamma: 0.0001
Closest predicted index: 2597, MAE: [0.00024185], Loss: -329925347542417.9, Alpha: 0.1, Beta: 0.0001, Gamma: 0.001
Closest predicted index: 2701, MAE: [0.00058668], Loss: -329925327614361.4, Alpha: 0.1, Beta: 0.0001, Gamma: 0.01
Closest predicted index: 2280, MAE: [0.00019276], Loss: -329923615331048.94, Alpha: 0.1, Beta: 0.0001, Gamma: 0.1
Closest predicted index: 2597, MAE: [5.58125021e-05], Loss: -329925350751507.9, Alpha: 0.1, Beta: 0.0001, Gamma: 1.0
Closest predicted index: 2597, MAE: [7.92457946e-05], Loss: -329907698052374.0, Alpha: 0.1, Beta: 0.001, Gamma: 0.0001
Closest predicted index: 2598, MAE: [0.00018028], Loss: -329907700828737.44, Alpha: 0.1, Beta: 0.001, Gamma: 0.001
Closest predicted index: 2601, MAE: [0.00023128], Loss: -329907697567174.9, Alpha: 0.1, Beta: 0.001, Gamma: 0.01
Closest predicted index: 2598, MAE: [0.00010689], Loss: -329907707398815.1, Alpha: 0.1, Beta: 0.001, Gamma: 0.1
Closest predicted index: 2598, MAE: [6.70497006e-05], Loss: -329907696567940.8, Alpha: 0.1, Beta: 0.001, Gamma: 1.0
